"Short passwords are easy to guess. Try one with at least %s characters.","Short passwords are easy to guess. Try one with at least %s characters."
"WHY WE'RE DIFFERENT","WHY WE'RE DIFFERENT"
"S&S TRIBECA","S&S TRIBECA"
"Modern Jewelry. Old School Values.","Modern Jewelry. Old School Values."
"Lifetime Warranty","Lifetime Warranty"
"Some things really are forever. Shop confidently.","Some things really are forever. Shop confidently."
"100-Day Returns","100-Day Returns"
"Commitment issues? We get it. Take it slow.","Commitment issues? We get it. Take it slow."
"Concierge Services","Concierge Services"
"From engraving to picking that perfect gift, we’ve got you.","From engraving to picking that perfect gift, we’ve got you."
"Zip Code","Zip Code"
"Last name","Last name"
"First name","First name"
"Change Your Name","Change Your Name"
"Change Your Password","Change Your Password"
"Change Your Email","Change Your Email"
"Current email","Current email"
"New email","New email"
"Confirm new email","Confirm new email"
"Current password","Current password"
"New password","New password"
"Confirm new password","Confirm new password"
"Current","Current"
"New","New"
"Please enter less or equal than %s symbols.","Please enter less or equal than %s symbols."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter new email.","Please enter new email."
"Please confirm new email.","Please confirm new email."
"Please enter current password.","Please enter current password."
"Please enter new password.","Please enter new password."
"Please confirm new password.","Please confirm new password."
